NOVA_EXT_MAX,symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,r_mult,exit_side,bars_held
0.1,BNBUSDT,F_192,2026-06-01T17:45:00+00:00,2026-06-01T20:05:00+00:00,688.99453,696.479357,1000.0,10.8634,,tp,28
0.1,BNBUSDT,F_192,2026-06-02T03:25:00+00:00,2026-06-02T04:05:00+00:00,694.741992,689.571525,1000.0,-7.4423,,stop,8
0.1,BNBUSDT,F_192,2026-06-03T00:35:00+00:00,2026-06-03T01:05:00+00:00,656.75267,651.030942,1000.0,-8.7121,,stop,6
0.1,BNBUSDT,F_192,2026-06-03T09:10:00+00:00,2026-06-03T09:15:00+00:00,646.73967,642.951317,1000.0,-5.8576,,stop,1
0.1,BNBUSDT,F_192,2026-06-04T23:55:00+00:00,2026-06-05T00:55:00+00:00,605.436045,601.347561,1000.0,-6.753,,stop,12
0.1,BNBUSDT,F_192,2026-06-05T04:55:00+00:00,2026-06-05T05:35:00+00:00,600.289363,594.745188,1000.0,-9.2358,,stop,8
0.1,BNBUSDT,F_192,2026-06-08T07:50:00+00:00,2026-06-08T08:00:00+00:00,598.326815,594.999452,1000.0,-5.5611,,stop,2
0.1,BNBUSDT,F_192,2026-06-08T11:15:00+00:00,2026-06-08T12:10:00+00:00,600.890143,597.562301,1000.0,-5.5382,,stop,11
0.1,BNBUSDT,F_192,2026-06-10T12:30:00+00:00,2026-06-10T12:30:00+00:00,585.850617,589.788608,1000.0,6.7218,,tp,0
0.1,BNBUSDT,F_192,2026-06-10T13:35:00+00:00,2026-06-10T17:30:00+00:00,592.148794,588.184587,1000.0,-6.6946,,stop,47
0.1,BNBUSDT,F_192,2026-06-10T15:55:00+00:00,2026-06-10T16:10:00+00:00,598.527075,593.816965,1000.0,-7.8695,,stop,3
0.1,BNBUSDT,F_192,2026-06-13T00:55:00+00:00,2026-06-13T00:55:00+00:00,606.006786,604.09758,1000.0,-3.1505,,stop,0
0.1,BNBUSDT,F_192,2026-06-13T15:00:00+00:00,2026-06-13T15:05:00+00:00,611.253598,609.055081,1000.0,-3.5967,,stop,1
0.1,BNBUSDT,F_192,2026-06-13T20:15:00+00:00,2026-06-13T20:20:00+00:00,609.59144,607.890154,1000.0,-2.7909,,stop,1
0.1,BNBUSDT,F_192,2026-06-15T12:50:00+00:00,2026-06-15T13:10:00+00:00,623.699757,627.388804,1000.0,5.9148,,tp,4
0.1,BNBUSDT,F_192,2026-06-18T19:55:00+00:00,2026-06-18T21:15:00+00:00,580.113168,577.696899,1000.0,-4.1652,,stop,16
0.1,BNBUSDT,F_192,2026-06-20T07:25:00+00:00,2026-06-20T07:50:00+00:00,589.315115,586.371839,1000.0,-4.9944,,stop,5
0.1,BNBUSDT,F_192,2026-06-21T01:35:00+00:00,2026-06-21T02:15:00+00:00,589.415245,587.647452,1000.0,-2.9992,,stop,8
0.1,BNBUSDT,F_192,2026-06-21T07:45:00+00:00,2026-06-21T07:45:00+00:00,592.459197,590.423504,1000.0,-3.436,,stop,0
0.1,BNBUSDT,F_192,2026-06-21T18:40:00+00:00,2026-06-21T18:45:00+00:00,592.258937,590.236345,1000.0,-3.415,,stop,1
0.1,BNBUSDT,F_192,2026-06-22T01:20:00+00:00,2026-06-22T01:25:00+00:00,590.26635,594.461116,1000.0,7.1066,,tp,1
0.1,BNBUSDT,F_192,2026-06-22T12:25:00+00:00,2026-06-22T14:30:00+00:00,599.858804,596.96317,1000.0,-4.8272,,stop,25
0.1,BNBUSDT,F_192,2026-06-25T02:30:00+00:00,2026-06-25T02:30:00+00:00,567.83723,565.512535,1000.0,-4.0939,,stop,0
0.1,BNBUSDT,F_192,2026-06-25T06:10:00+00:00,2026-06-25T07:20:00+00:00,572.232937,569.236252,1000.0,-5.2368,,stop,14
0.1,BNBUSDT,F_192,2026-06-25T18:00:00+00:00,2026-06-25T18:10:00+00:00,560.357519,556.807013,1000.0,-6.3361,,stop,2
0.1,BNBUSDT,F_192,2026-06-26T19:10:00+00:00,2026-06-26T19:10:00+00:00,569.349193,566.551717,1000.0,-4.9135,,stop,0
0.1,BNBUSDT,F_192,2026-06-28T02:05:00+00:00,2026-06-28T02:20:00+00:00,559.256089,557.45474,1000.0,-3.221,,stop,3
0.1,BNBUSDT,F_192,2026-07-02T13:35:00+00:00,2026-07-02T14:20:00+00:00,566.114994,561.873608,1000.0,-7.4921,,stop,9
0.1,BNBUSDT,F_192,2026-07-03T05:30:00+00:00,2026-07-03T07:00:00+00:00,562.450236,560.473529,1000.0,-3.5145,,stop,18
0.1,BNBUSDT,F_192,2026-07-03T20:30:00+00:00,2026-07-04T01:50:00+00:00,572.983912,570.352917,1000.0,-4.5917,,stop,64
0.1,BNBUSDT,F_192,2026-07-04T08:30:00+00:00,2026-07-04T08:45:00+00:00,571.261676,572.875968,1000.0,2.8258,,tp,3
0.1,BNBUSDT,F_192,2026-07-06T15:15:00+00:00,2026-07-06T21:05:00+00:00,581.474936,586.702658,1000.0,8.9905,,tp,70
0.1,BNBUSDT,F_192,2026-07-08T14:25:00+00:00,2026-07-08T14:45:00+00:00,567.016164,563.641048,1000.0,-5.9524,,stop,4
0.1,BNBUSDT,F_192,2026-07-14T04:05:00+00:00,2026-07-14T04:05:00+00:00,571.34178,569.122386,1000.0,-3.8845,,stop,0
0.1,BNBUSDT,F_192,2026-07-14T07:50:00+00:00,2026-07-14T07:55:00+00:00,570.931247,569.28878,1000.0,-2.8768,,stop,1
0.1,BNBUSDT,F_192,2026-07-15T03:35:00+00:00,2026-07-15T03:35:00+00:00,581.935534,580.117542,1000.0,-3.124,,stop,0
0.1,BNBUSDT,F_192,2026-07-16T05:15:00+00:00,2026-07-16T05:15:00+00:00,583.046977,584.286416,1000.0,2.1258,,tp,0
0.1,BNBUSDT,F_192,2026-07-17T00:55:00+00:00,2026-07-17T01:35:00+00:00,574.225524,571.989541,1000.0,-3.8939,,stop,8
0.1,BNBUSDT,F_192,2026-07-19T07:30:00+00:00,2026-07-19T07:30:00+00:00,570.030077,568.84533,1000.0,-2.0784,,stop,0
0.1,BNBUSDT,F_192,2026-07-19T15:35:00+00:00,2026-07-19T16:00:00+00:00,570.921234,569.284487,1000.0,-2.8669,,stop,5
0.1,BNBUSDT,F_192,2026-07-20T07:55:00+00:00,2026-07-20T08:05:00+00:00,567.426697,565.407853,1000.0,-3.5579,,stop,2
0.1,BNBUSDT,F_192,2026-07-20T18:15:00+00:00,2026-07-20T18:15:00+00:00,575.617331,573.450874,1000.0,-3.7637,,stop,0
0.1,BNBUSDT,F_192,2026-07-21T00:40:00+00:00,2026-07-21T01:15:00+00:00,574.04529,572.099164,1000.0,-3.3902,,stop,7
0.1,BNBUSDT,F_192,2026-07-21T06:15:00+00:00,2026-07-21T07:25:00+00:00,576.64867,574.647798,1000.0,-3.4698,,stop,14
0.1,BNBUSDT,F_192,2026-07-22T16:35:00+00:00,2026-07-22T17:25:00+00:00,574.085342,571.758232,1000.0,-4.0536,,stop,10
0.1,BNBUSDT,F_192,2026-07-23T08:30:00+00:00,2026-07-23T08:55:00+00:00,571.321754,569.771515,1000.0,-2.7134,,stop,5
