#,المرحلة,القياس,الفترة
1,أ,سلة 17 + فائز,اختيار
2,أ,سلة 17 + فائز,حكم
3,ب,كاسرة النطاق × عرضي,اختيار
4,ب,انحراف الدخول × عرضي,اختيار
5,ب,انحراف الدخول × هابط,اختيار
6,ب,التنقيط التعويضي × عرضي,اختيار
7,ب,التنقيط التعويضي × هابط,اختيار
8,ب,دونشيان × عرضي,اختيار
9,ب,دونشيان × هابط,اختيار
10,ب,ماكد × صاعد,اختيار
11,ب,ماكد × عرضي,اختيار
12,ب,بولنجر × عرضي,اختيار
13,ج,k=2.5 + تهدئة 3 + جسم 0.4,اختيار
14,ج,k=2.5 + تهدئة 3 + تقلب 0.010,اختيار
15,ج,k=3.0 + تهدئة 3 + جسم 0.4,اختيار
16,ج,k=3.0 + تهدئة 3 + تقلب 0.010,اختيار
17,د,فائز نهائي basket17,حكم
18,د,عشوائي بذرة 110056,اختيار
19,د,عشوائي بذرة 210056,اختيار
20,د,عشوائي بذرة 310056,اختيار
21,د,عشوائي بذرة 410056,اختيار
22,د,عشوائي بذرة 510056,اختيار
23,د,عشوائي بذرة 110056,حكم
24,د,عشوائي بذرة 210056,حكم
25,د,عشوائي بذرة 310056,حكم
26,د,عشوائي بذرة 410056,حكم
27,د,عشوائي بذرة 510056,حكم
