#,القياس,الفترة,cost,seed
1,عمود كاسرة النطاق منفردًا,اختيار,0.0013,
2,عمود انحراف الدخول منفردًا,اختيار,0.0013,
3,عمود التنقيط التعويضي منفردًا,اختيار,0.0013,
4,عمود دونشيان منفردًا,اختيار,0.0013,
5,عمود ماكد منفردًا,اختيار,0.0013,
6,عمود بولنجر منفردًا,اختيار,0.0013,
7,عمود سناب المؤشر منفردًا,اختيار,0.0013,
8,المحفظة المسنَدة,اختيار,0.0013,
9,عشوائي مسنَد بذرة 110051,اختيار,0.0013,110051.0
10,عشوائي مسنَد بذرة 210051,اختيار,0.0013,210051.0
11,عشوائي مسنَد بذرة 310051,اختيار,0.0013,310051.0
12,عشوائي مسنَد بذرة 410051,اختيار,0.0013,410051.0
13,عشوائي مسنَد بذرة 510051,اختيار,0.0013,510051.0
14,المحفظة المسنَدة,حكم,0.0013,
15,عشوائي مسنَد بذرة 110051,حكم,0.0013,110051.0
16,عشوائي مسنَد بذرة 210051,حكم,0.0013,210051.0
17,عشوائي مسنَد بذرة 310051,حكم,0.0013,310051.0
18,عشوائي مسنَد بذرة 410051,حكم,0.0013,410051.0
19,عشوائي مسنَد بذرة 510051,حكم,0.0013,510051.0
20,الشراء والاحتفاظ,اختيار,0.0013,
21,الشراء والاحتفاظ,حكم,0.0013,
