NOVA_RSI2_OS,NOVA_SMA_TREND,NOVA_SMA_PULL,symbol,net,trades,win_pct,gross,costs,risk_total
5,100,3,BTCUSDT,-924.35,388,10.82,83.25,1007.6,0.0
5,100,5,BTCUSDT,-925.92,389,10.8,84.27,1010.2,0.0
5,100,10,BTCUSDT,-925.92,389,10.8,84.27,1010.2,0.0
5,200,3,BTCUSDT,-1145.14,515,12.04,192.37,1337.51,0.0
5,200,5,BTCUSDT,-1146.72,516,12.02,193.39,1340.11,0.0
5,200,10,BTCUSDT,-1146.72,516,12.02,193.39,1340.11,0.0
10,100,3,BTCUSDT,-2029.87,783,10.73,3.29,2033.16,0.0
10,100,5,BTCUSDT,-2027.75,785,10.83,10.62,2038.36,0.0
10,100,10,BTCUSDT,-2026.2,784,10.84,9.56,2035.77,0.0
10,200,3,BTCUSDT,-2391.54,985,11.27,166.35,2557.89,0.0
10,200,5,BTCUSDT,-2389.42,987,11.35,173.68,2563.09,0.0
10,200,10,BTCUSDT,-2387.87,986,11.36,172.63,2560.5,0.0
15,100,3,BTCUSDT,-3059.8,1210,11.49,82.22,3142.02,0.0
15,100,5,BTCUSDT,-3057.68,1212,11.55,89.55,3147.23,0.0
15,100,10,BTCUSDT,-3043.7,1193,11.32,54.14,3097.84,0.0
15,200,3,BTCUSDT,-3424.21,1446,12.1,330.94,3755.15,0.0
15,200,5,BTCUSDT,-3422.08,1448,12.15,338.27,3760.35,0.0
15,200,10,BTCUSDT,-3417.47,1429,11.9,293.49,3710.96,0.0
5,100,3,BNBUSDT,-782.2,311,15.43,25.38,807.58,0.0
5,100,5,BNBUSDT,-782.2,311,15.43,25.38,807.58,0.0
5,100,10,BNBUSDT,-782.2,311,15.43,25.38,807.58,0.0
5,200,3,BNBUSDT,-1108.71,418,13.88,-23.36,1085.36,0.0
5,200,5,BNBUSDT,-1108.71,418,13.88,-23.36,1085.36,0.0
5,200,10,BNBUSDT,-1108.71,418,13.88,-23.36,1085.36,0.0
10,100,3,BNBUSDT,-1974.99,748,13.1,-32.75,1942.23,0.0
10,100,5,BNBUSDT,-1974.99,748,13.1,-32.75,1942.23,0.0
10,100,10,BNBUSDT,-1966.69,745,13.15,-32.24,1934.44,0.0
10,200,3,BNBUSDT,-2416.63,902,12.75,-74.58,2342.06,0.0
10,200,5,BNBUSDT,-2420.33,903,12.74,-75.68,2344.65,0.0
10,200,10,BNBUSDT,-2414.93,901,12.76,-75.47,2339.46,0.0
15,100,3,BNBUSDT,-3047.4,1158,12.52,-40.56,3006.84,0.0
15,100,5,BNBUSDT,-3050.09,1162,12.65,-32.85,3017.23,0.0
15,100,10,BNBUSDT,-2989.55,1143,12.86,-21.63,2967.91,0.0
15,200,3,BNBUSDT,-3557.18,1340,12.39,-77.8,3479.38,0.0
15,200,5,BNBUSDT,-3560.17,1346,12.56,-65.2,3494.97,0.0
15,200,10,BNBUSDT,-3512.06,1331,12.7,-56.03,3456.03,0.0
5,100,3,LINKUSDT,-852.5,301,21.93,-71.01,781.49,0.0
5,100,5,LINKUSDT,-863.24,303,21.78,-76.56,786.68,0.0
5,100,10,LINKUSDT,-863.24,303,21.78,-76.56,786.68,0.0
5,200,3,LINKUSDT,-982.73,386,22.28,19.59,1002.32,0.0
5,200,5,LINKUSDT,-986.11,387,22.22,18.8,1004.92,0.0
5,200,10,LINKUSDT,-986.11,387,22.22,18.8,1004.92,0.0
10,100,3,LINKUSDT,-1977.83,662,20.69,-259.2,1718.63,0.0
10,100,5,LINKUSDT,-1988.37,664,20.63,-264.55,1723.82,0.0
10,100,10,LINKUSDT,-1993.64,662,20.54,-275.04,1718.61,0.0
10,200,3,LINKUSDT,-1995.19,775,23.23,17.21,2012.41,0.0
10,200,5,LINKUSDT,-2005.12,777,23.17,12.48,2017.59,0.0
10,200,10,LINKUSDT,-2010.4,775,23.1,1.99,2012.39,0.0
15,100,3,LINKUSDT,-2877.87,987,20.97,-315.41,2562.46,0.0
15,100,5,LINKUSDT,-2892.37,990,20.91,-322.13,2570.24,0.0
15,100,10,LINKUSDT,-2823.44,969,20.85,-307.71,2515.73,0.0
