NOVA_ZP,NOVA_ZTH,NOVA_WICK,symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,r_mult,exit_side,bars_held
20,-1.5,0.5,BTCUSDT,F_015,2026-06-11T12:35:00+00:00,2026-06-11T15:00:00+00:00,62834.87929,62483.810316,1000.0,-5.5872,,stop,29
20,-1.5,0.5,BTCUSDT,F_015,2026-06-11T17:10:00+00:00,2026-06-11T17:25:00+00:00,62599.323465,62270.566354,1000.0,-5.2518,,stop,3
20,-1.5,0.5,BTCUSDT,F_015,2026-06-11T20:35:00+00:00,2026-06-12T06:15:00+00:00,63475.260705,63158.95433,1000.0,-4.9831,,stop,116
20,-1.5,0.5,BTCUSDT,F_015,2026-06-12T01:40:00+00:00,2026-06-12T02:10:00+00:00,63452.391013,63694.078071,1000.0,3.809,,tp,6
20,-1.5,0.5,BTCUSDT,F_015,2026-06-12T06:25:00+00:00,2026-06-12T06:30:00+00:00,63278.1548,63030.588375,1000.0,-3.9124,,stop,1
20,-1.5,0.5,BTCUSDT,F_015,2026-06-12T06:40:00+00:00,2026-06-12T08:15:00+00:00,63043.840587,63376.663678,1000.0,5.2792,,tp,19
20,-1.5,0.5,BTCUSDT,F_015,2026-06-12T12:35:00+00:00,2026-06-12T12:35:00+00:00,63639.884438,63390.847638,1000.0,-3.9132,,stop,0
20,-1.5,0.5,BTCUSDT,F_015,2026-06-12T13:50:00+00:00,2026-06-12T14:50:00+00:00,63290.1704,63747.778985,1000.0,7.2303,,tp,12
20,-1.5,0.5,BTCUSDT,F_015,2026-06-12T19:50:00+00:00,2026-06-12T20:15:00+00:00,63730.351893,63472.640053,1000.0,-4.0438,,stop,5
20,-1.5,0.5,BTCUSDT,F_015,2026-06-13T03:40:00+00:00,2026-06-13T07:35:00+00:00,63593.904742,63744.232229,1000.0,2.3639,,tp,47
20,-1.5,0.5,BTCUSDT,F_015,2026-06-13T16:10:00+00:00,2026-06-13T16:15:00+00:00,64180.906854,63931.977098,1000.0,-3.8786,,stop,1
20,-1.5,0.5,BTCUSDT,F_015,2026-06-14T09:30:00+00:00,2026-06-14T09:30:00+00:00,64437.640174,64277.181069,1000.0,-2.4901,,stop,0
20,-1.5,0.5,BTCUSDT,F_015,2026-06-14T12:45:00+00:00,2026-06-14T12:45:00+00:00,64441.785556,64275.237552,1000.0,-2.5845,,stop,0
20,-1.5,0.5,BTCUSDT,F_015,2026-06-14T14:55:00+00:00,2026-06-14T17:35:00+00:00,64005.0986,63751.793388,1000.0,-3.9576,,stop,32
20,-1.5,0.5,BTCUSDT,F_015,2026-06-15T01:10:00+00:00,2026-06-15T11:15:00+00:00,65547.1006,66008.018477,1000.0,7.0319,,tp,121
20,-1.5,0.5,BTCUSDT,F_015,2026-06-15T19:25:00+00:00,2026-06-15T21:25:00+00:00,66650.5332,66319.656849,1000.0,-4.9643,,stop,24
20,-1.5,0.5,BTCUSDT,F_015,2026-06-15T21:35:00+00:00,2026-06-15T21:45:00+00:00,66534.372387,66300.041569,1000.0,-3.522,,stop,2
20,-1.5,0.5,BTCUSDT,F_015,2026-06-15T22:35:00+00:00,2026-06-15T23:35:00+00:00,66329.806797,66042.437015,1000.0,-4.3324,,stop,12
20,-1.5,0.5,BTCUSDT,F_015,2026-06-16T02:40:00+00:00,2026-06-16T02:55:00+00:00,65963.761556,65672.78295,1000.0,-4.4112,,stop,3
20,-1.5,0.5,BTCUSDT,F_015,2026-06-16T11:45:00+00:00,2026-06-16T12:30:00+00:00,66489.504134,66718.993683,1000.0,3.4515,,tp,9
20,-1.5,0.5,BTCUSDT,F_015,2026-06-16T13:15:00+00:00,2026-06-16T13:25:00+00:00,66293.639841,65930.127679,1000.0,-5.4834,,stop,2
20,-1.5,0.5,BTCUSDT,F_015,2026-06-16T13:40:00+00:00,2026-06-16T14:15:00+00:00,66124.189842,65727.594174,1000.0,-5.9977,,stop,7
20,-1.5,0.5,BTCUSDT,F_015,2026-06-16T14:35:00+00:00,2026-06-17T07:50:00+00:00,65653.248413,65177.885439,1000.0,-7.2405,,stop,207
20,-1.5,0.5,BTCUSDT,F_015,2026-06-17T06:35:00+00:00,2026-06-17T06:35:00+00:00,65803.443413,65578.771466,1000.0,-3.4143,,stop,0
20,-1.5,0.5,BTCUSDT,F_015,2026-06-17T06:50:00+00:00,2026-06-17T06:55:00+00:00,65755.360987,65517.94108,1000.0,-3.6107,,stop,1
20,-1.5,0.5,BTCUSDT,F_015,2026-06-17T08:55:00+00:00,2026-06-17T11:00:00+00:00,65006.408613,64628.707643,1000.0,-5.8102,,stop,25
20,-1.5,0.5,BTCUSDT,F_015,2026-06-17T11:20:00+00:00,2026-06-17T12:45:00+00:00,64710.0138,64960.689263,1000.0,3.8738,,tp,17
20,-1.5,0.5,BTCUSDT,F_015,2026-06-17T18:10:00+00:00,2026-06-17T19:10:00+00:00,65563.141426,65051.40024,1000.0,-7.8053,,stop,12
20,-1.5,0.5,BTCUSDT,F_015,2026-06-17T21:50:00+00:00,2026-06-17T22:00:00+00:00,64297.458174,63987.202246,1000.0,-4.8253,,stop,2
20,-1.5,0.5,BTCUSDT,F_015,2026-06-18T03:45:00+00:00,2026-06-18T04:00:00+00:00,64411.646426,64187.616763,1000.0,-3.4781,,stop,3
20,-1.5,0.5,BTCUSDT,F_015,2026-06-18T04:25:00+00:00,2026-06-18T05:00:00+00:00,64068.220552,63744.861506,1000.0,-5.0471,,stop,7
20,-1.5,0.5,BTCUSDT,F_015,2026-06-18T09:35:00+00:00,2026-06-18T09:55:00+00:00,64382.278297,64152.131967,1000.0,-3.5747,,stop,4
