NOVA_R,NOVA_CAP,NOVA_HALVE,symbol,net,trades,win_pct,gross,costs,risk_total
0.2,12.0,1.3,BTCUSDT,-22.95,809,12.11,0.16,23.1,22.51
0.2,12.0,1.5,BTCUSDT,-23.7,809,12.11,0.56,24.26,23.89
0.2,12.0,2.0,BTCUSDT,-24.69,809,12.11,0.35,25.04,24.94
0.2,25.0,1.3,BTCUSDT,-47.18,809,12.11,0.79,47.98,46.22
0.2,25.0,1.5,BTCUSDT,-48.72,809,12.11,1.65,50.37,49.06
0.2,25.0,2.0,BTCUSDT,-50.74,809,12.11,1.25,51.99,51.21
1.0,12.0,1.3,BTCUSDT,-22.95,809,12.11,0.16,23.1,22.51
1.0,12.0,1.5,BTCUSDT,-23.7,809,12.11,0.56,24.26,23.89
1.0,12.0,2.0,BTCUSDT,-24.69,809,12.11,0.35,25.04,24.94
1.0,25.0,1.3,BTCUSDT,-47.8,809,12.11,0.33,48.14,46.9
1.0,25.0,1.5,BTCUSDT,-49.38,809,12.11,1.16,50.54,49.78
1.0,25.0,2.0,BTCUSDT,-51.43,809,12.11,0.73,52.16,51.95
2.0,12.0,1.3,BTCUSDT,-22.95,809,12.11,0.16,23.1,22.51
2.0,12.0,1.5,BTCUSDT,-23.7,809,12.11,0.56,24.26,23.89
2.0,12.0,2.0,BTCUSDT,-24.69,809,12.11,0.35,25.04,24.94
2.0,25.0,1.3,BTCUSDT,-47.8,809,12.11,0.33,48.14,46.9
2.0,25.0,1.5,BTCUSDT,-49.38,809,12.11,1.16,50.54,49.78
2.0,25.0,2.0,BTCUSDT,-51.43,809,12.11,0.73,52.16,51.95
0.2,12.0,1.3,BNBUSDT,-23.23,781,13.83,-0.62,22.61,24.05
0.2,12.0,1.5,BNBUSDT,-24.29,781,13.83,-0.52,23.77,25.4
0.2,12.0,2.0,BNBUSDT,-25.1,781,13.83,-0.81,24.29,26.22
0.2,25.0,1.3,BNBUSDT,-48.0,781,13.83,-1.05,46.94,49.31
0.2,25.0,1.5,BNBUSDT,-50.21,781,13.83,-0.83,49.38,52.12
0.2,25.0,2.0,BNBUSDT,-51.85,781,13.83,-1.41,50.44,53.79
1.0,12.0,1.3,BNBUSDT,-23.23,781,13.83,-0.62,22.61,24.05
1.0,12.0,1.5,BNBUSDT,-24.29,781,13.83,-0.52,23.77,25.4
1.0,12.0,2.0,BNBUSDT,-25.1,781,13.83,-0.81,24.29,26.22
1.0,25.0,1.3,BNBUSDT,-48.39,781,13.83,-1.3,47.09,50.1
1.0,25.0,1.5,BNBUSDT,-50.61,781,13.83,-1.08,49.53,52.91
1.0,25.0,2.0,BNBUSDT,-52.28,781,13.83,-1.68,50.6,54.62
2.0,12.0,1.3,BNBUSDT,-23.23,781,13.83,-0.62,22.61,24.05
2.0,12.0,1.5,BNBUSDT,-24.29,781,13.83,-0.52,23.77,25.4
2.0,12.0,2.0,BNBUSDT,-25.1,781,13.83,-0.81,24.29,26.22
2.0,25.0,1.3,BNBUSDT,-48.39,781,13.83,-1.3,47.09,50.1
2.0,25.0,1.5,BNBUSDT,-50.61,781,13.83,-1.08,49.53,52.91
2.0,25.0,2.0,BNBUSDT,-52.28,781,13.83,-1.68,50.6,54.62
0.2,12.0,1.3,LINKUSDT,-19.18,671,23.85,0.24,19.43,33.99
0.2,12.0,1.5,LINKUSDT,-20.33,671,23.85,-0.22,20.11,35.47
0.2,12.0,2.0,LINKUSDT,-20.98,671,23.85,-0.14,20.85,37.49
0.2,25.0,1.3,LINKUSDT,-38.2,671,23.85,1.65,39.85,67.75
0.2,25.0,1.5,LINKUSDT,-40.41,671,23.85,0.83,41.24,70.63
0.2,25.0,2.0,LINKUSDT,-41.49,671,23.85,1.16,42.66,74.29
1.0,12.0,1.3,LINKUSDT,-19.31,671,23.85,0.13,19.44,34.11
1.0,12.0,1.5,LINKUSDT,-20.46,671,23.85,-0.33,20.13,35.59
1.0,12.0,2.0,LINKUSDT,-21.11,671,23.85,-0.25,20.86,37.61
1.0,25.0,1.3,LINKUSDT,-40.23,671,23.85,0.28,40.51,71.06
1.0,25.0,1.5,LINKUSDT,-42.62,671,23.85,-0.69,41.93,74.14
1.0,25.0,2.0,LINKUSDT,-43.98,671,23.85,-0.52,43.46,78.35
2.0,12.0,1.3,LINKUSDT,-19.31,671,23.85,0.13,19.44,34.11
2.0,12.0,1.5,LINKUSDT,-20.46,671,23.85,-0.33,20.13,35.59
2.0,12.0,2.0,LINKUSDT,-21.11,671,23.85,-0.25,20.86,37.61
2.0,25.0,1.3,LINKUSDT,-40.23,671,23.85,0.28,40.51,71.06
2.0,25.0,1.5,LINKUSDT,-42.62,671,23.85,-0.69,41.93,74.14
2.0,25.0,2.0,LINKUSDT,-43.98,671,23.85,-0.52,43.46,78.35
0.2,12.0,1.3,SOLUSDT,-21.99,687,20.52,-2.1,19.89,35.25
0.2,12.0,1.5,SOLUSDT,-22.7,687,20.52,-2.08,20.63,36.98
0.2,12.0,2.0,SOLUSDT,-23.19,687,20.52,-1.88,21.31,38.8
0.2,25.0,1.3,SOLUSDT,-43.35,687,20.52,-2.83,40.51,69.0
0.2,25.0,1.5,SOLUSDT,-44.8,687,20.52,-2.83,41.97,72.3
0.2,25.0,2.0,SOLUSDT,-45.74,687,20.52,-2.45,43.29,75.58
1.0,12.0,1.3,SOLUSDT,-22.1,687,20.52,-2.19,19.91,35.35
1.0,12.0,1.5,SOLUSDT,-22.81,687,20.52,-2.17,20.64,37.08
1.0,12.0,2.0,SOLUSDT,-23.3,687,20.52,-1.97,21.33,38.9
1.0,25.0,1.3,SOLUSDT,-46.04,687,20.52,-4.56,41.48,73.64
1.0,25.0,1.5,SOLUSDT,-47.52,687,20.52,-4.52,43.0,77.25
1.0,25.0,2.0,SOLUSDT,-48.54,687,20.52,-4.11,44.43,81.05
2.0,12.0,1.3,SOLUSDT,-22.1,687,20.52,-2.19,19.91,35.35
2.0,12.0,1.5,SOLUSDT,-22.81,687,20.52,-2.17,20.64,37.08
2.0,12.0,2.0,SOLUSDT,-23.3,687,20.52,-1.97,21.33,38.9
2.0,25.0,1.3,SOLUSDT,-46.04,687,20.52,-4.56,41.48,73.64
2.0,25.0,1.5,SOLUSDT,-47.52,687,20.52,-4.52,43.0,77.25
2.0,25.0,2.0,SOLUSDT,-48.54,687,20.52,-4.11,44.43,81.05
