#,القياس,الفترة,cost,seed
1,حجم k=1.2,اختيار,0.001,
2,حجم k=1.5,اختيار,0.001,
3,حجم k=1.8,اختيار,0.001,
4,شمعة التأكيد,اختيار,0.001,
5,منطقة m=0.3,اختيار,0.001,
6,منطقة m=0.6,اختيار,0.001,
7,منطقة m=1.0,اختيار,0.001,
8,تقلب v=0.005,اختيار,0.001,
9,تقلب v=0.010,اختيار,0.001,
10,تقلب v=0.015,اختيار,0.001,
11,جسم b=0.4,اختيار,0.001,
12,جسم b=0.6,اختيار,0.001,
13,تهدئة n=3,اختيار,0.001,
14,تهدئة n=6,اختيار,0.001,
15,تهدئة n=12,اختيار,0.001,
16,حجم k=1.8 + حجم k=1.5,اختيار,0.001,
17,حجم k=1.8 + حجم k=1.2,اختيار,0.001,
18,حجم k=1.5 + حجم k=1.2,اختيار,0.001,
19,حجم k=1.8 + حجم k=1.5 + حجم k=1.2,اختيار,0.001,
20,حجم k=1.8,حكم,0.001,
21,حجم k=1.8,حكم,0.00075,
22,عشوائي 0.100% بذرة 110053,حكم,0.001,110053
23,عشوائي 0.100% بذرة 210053,حكم,0.001,210053
24,عشوائي 0.100% بذرة 310053,حكم,0.001,310053
25,عشوائي 0.100% بذرة 410053,حكم,0.001,410053
26,عشوائي 0.100% بذرة 510053,حكم,0.001,510053
