NOVA_RSI2_OS,NOVA_SMA_TREND,NOVA_SMA_PULL,symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,r_mult,exit_side,bars_held
5,100,3,BTCUSDT,F_001,2026-06-03T07:00:00+00:00,2026-06-03T09:35:00+00:00,67070.348251,66674.477176,1000.0,-5.9023,,stop,31
5,100,3,BTCUSDT,F_001,2026-06-03T08:15:00+00:00,2026-06-03T09:15:00+00:00,67157.180987,66842.42986,1000.0,-4.6868,,stop,12
5,100,3,BTCUSDT,F_001,2026-06-03T11:40:00+00:00,2026-06-03T12:00:00+00:00,67211.2612,66933.227597,1000.0,-4.1367,,stop,4
5,100,3,BTCUSDT,F_001,2026-06-04T07:05:00+00:00,2026-06-04T07:15:00+00:00,63979.0648,63552.424819,1000.0,-6.6684,,stop,2
5,100,3,BTCUSDT,F_001,2026-06-04T14:40:00+00:00,2026-06-04T17:15:00+00:00,63985.57325,63265.653699,1000.0,-11.2513,,stop,31
5,100,3,BTCUSDT,F_001,2026-06-04T19:55:00+00:00,2026-06-04T20:00:00+00:00,63735.118081,63304.331041,1000.0,-6.759,,stop,1
5,100,3,BTCUSDT,F_001,2026-06-05T22:05:00+00:00,2026-06-05T23:15:00+00:00,61511.791509,61001.945752,1000.0,-8.2886,,stop,14
5,100,3,BTCUSDT,F_001,2026-06-05T22:15:00+00:00,2026-06-05T23:15:00+00:00,61477.346789,60990.968179,1000.0,-7.9115,,stop,12
5,100,3,BTCUSDT,F_001,2026-06-05T23:25:00+00:00,2026-06-06T04:05:00+00:00,61043.75385,60418.11235,1000.0,-10.2491,,stop,56
5,100,3,BTCUSDT,F_001,2026-06-06T01:25:00+00:00,2026-06-06T02:15:00+00:00,61073.39233,60681.858942,1000.0,-6.4109,,stop,10
5,100,3,BTCUSDT,F_001,2026-06-06T09:50:00+00:00,2026-06-06T10:05:00+00:00,60982.354134,60644.082776,1000.0,-5.547,,stop,3
5,100,3,BTCUSDT,F_001,2026-06-07T06:05:00+00:00,2026-06-07T06:35:00+00:00,61706.464255,62175.807634,1000.0,7.6061,,tp,6
5,100,3,BTCUSDT,F_001,2026-06-07T17:55:00+00:00,2026-06-07T18:55:00+00:00,62252.162742,61969.1808,1000.0,-4.5457,,stop,12
5,100,3,BTCUSDT,F_001,2026-06-07T18:05:00+00:00,2026-06-07T19:00:00+00:00,62226.309176,61938.243219,1000.0,-4.6293,,stop,11
5,100,3,BTCUSDT,F_001,2026-06-08T01:05:00+00:00,2026-06-08T01:15:00+00:00,63454.3836,62983.887964,1000.0,-7.4147,,stop,2
5,100,3,BTCUSDT,F_001,2026-06-08T01:15:00+00:00,2026-06-08T01:25:00+00:00,63147.995813,62684.609745,1000.0,-7.3381,,stop,2
