#,القياس,الفترة,cost,seed
1,حجم k=2.0,اختيار,0.001,
2,حجم k=2.2,اختيار,0.001,
3,حجم k=2.5,اختيار,0.001,
4,حجم k=3.0,اختيار,0.001,
5,حجم k=3.5,اختيار,0.001,
6,حجم k=3.5 + جسم b=0.4,اختيار,0.001,
7,حجم k=3.5 + تقلب v=0.010,اختيار,0.001,
8,حجم k=3.5 + تهدئة n=3,اختيار,0.001,
9,حجم k=3.5 + شمعة التأكيد,اختيار,0.001,
10,حجم k=3.5 + تهدئة n=3 + تقلب v=0.010,اختيار,0.001,
11,حجم k=3.5 + تهدئة n=3,حكم,0.001,
12,حجم k=3.5 + تهدئة n=3,حكم,0.0013,
13,حجم k=3.5 + تهدئة n=3,حكم,0.00075,
14,عشوائي 0.100% بذرة 110054,حكم,0.001,110054
15,عشوائي 0.100% بذرة 210054,حكم,0.001,210054
16,عشوائي 0.100% بذرة 310054,حكم,0.001,310054
17,عشوائي 0.100% بذرة 410054,حكم,0.001,410054
18,عشوائي 0.100% بذرة 510054,حكم,0.001,510054
19,عشوائي 0.100% بذرة 110054,اختيار,0.001,110054
20,عشوائي 0.100% بذرة 210054,اختيار,0.001,210054
21,عشوائي 0.100% بذرة 310054,اختيار,0.001,310054
22,عشوائي 0.100% بذرة 410054,اختيار,0.001,410054
23,عشوائي 0.100% بذرة 510054,اختيار,0.001,510054
