NOVA_DISP_MIN,symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,r_mult,exit_side,bars_held
1.0,SOLUSDT,F_127,2026-06-01T17:00:00+00:00,2026-06-01T22:50:00+00:00,80.50452,81.224505,1000.0,8.9434,,tp,70
1.0,SOLUSDT,F_127,2026-06-01T17:30:00+00:00,2026-06-01T21:15:00+00:00,80.935079,80.401849,1000.0,-6.5884,,stop,45
1.0,SOLUSDT,F_127,2026-06-01T19:40:00+00:00,2026-06-01T20:00:00+00:00,81.40569,80.960305,1000.0,-5.4712,,stop,4
1.0,SOLUSDT,F_127,2026-06-01T22:50:00+00:00,2026-06-02T00:55:00+00:00,81.345612,80.776181,1000.0,-7.0001,,stop,25
1.0,SOLUSDT,F_127,2026-06-01T23:20:00+00:00,2026-06-01T23:25:00+00:00,81.666028,81.10902,1000.0,-6.8206,,stop,1
1.0,SOLUSDT,F_127,2026-06-03T05:05:00+00:00,2026-06-03T14:20:00+00:00,74.727019,73.942198,1000.0,-10.5025,,stop,111
1.0,SOLUSDT,F_127,2026-06-03T06:35:00+00:00,2026-06-03T06:50:00+00:00,75.427929,74.913272,1000.0,-6.8232,,stop,3
1.0,SOLUSDT,F_127,2026-06-03T10:10:00+00:00,2026-06-03T10:15:00+00:00,75.658228,75.121871,1000.0,-7.0892,,stop,1
1.0,SOLUSDT,F_127,2026-06-03T17:35:00+00:00,2026-06-03T17:45:00+00:00,74.146265,73.359345,1000.0,-10.6131,,stop,2
1.0,SOLUSDT,F_127,2026-06-03T21:50:00+00:00,2026-06-03T22:35:00+00:00,72.814536,71.883823,1000.0,-12.782,,stop,9
1.0,SOLUSDT,F_127,2026-06-04T03:05:00+00:00,2026-06-04T07:55:00+00:00,70.841975,69.298912,1000.0,-21.7818,,stop,58
1.0,SOLUSDT,F_127,2026-06-04T04:15:00+00:00,2026-06-04T04:30:00+00:00,71.813236,71.174874,1000.0,-8.8892,,stop,3
1.0,SOLUSDT,F_127,2026-06-04T12:05:00+00:00,2026-06-04T12:10:00+00:00,69.139765,68.250923,1000.0,-12.8557,,stop,1
