#,القياس,الفترة,cost,seed
1,مسنَدة 0.100%,اختيار,0.001,
2,مسنَدة 0.100%,حكم,0.001,
3,مسنَدة 0.085%,اختيار,0.00085,
4,مسنَدة 0.085%,حكم,0.00085,
5,مسنَدة 0.075%,اختيار,0.00075,
6,مسنَدة 0.075%,حكم,0.00075,
7,مسنَدة 0.060%,اختيار,0.0006,
8,مسنَدة 0.060%,حكم,0.0006,
9,مسنَدة 0.040%,اختيار,0.0004,
10,مسنَدة 0.040%,حكم,0.0004,
11,مسنَدة 0.000%,اختيار,0.0,
12,مسنَدة 0.000%,حكم,0.0,
13,عشوائي 0.075% بذرة 110052,اختيار,0.00075,110052.0
14,عشوائي 0.075% بذرة 210052,اختيار,0.00075,210052.0
15,عشوائي 0.075% بذرة 310052,اختيار,0.00075,310052.0
16,عشوائي 0.075% بذرة 410052,اختيار,0.00075,410052.0
17,عشوائي 0.075% بذرة 510052,اختيار,0.00075,510052.0
18,عشوائي 0.075% بذرة 110052,حكم,0.00075,110052.0
19,عشوائي 0.075% بذرة 210052,حكم,0.00075,210052.0
20,عشوائي 0.075% بذرة 310052,حكم,0.00075,310052.0
21,عشوائي 0.075% بذرة 410052,حكم,0.00075,410052.0
22,عشوائي 0.075% بذرة 510052,حكم,0.00075,510052.0
23,عشوائي 0.000% بذرة 110052,اختيار,0.0,110052.0
24,عشوائي 0.000% بذرة 210052,اختيار,0.0,210052.0
25,عشوائي 0.000% بذرة 310052,اختيار,0.0,310052.0
26,عشوائي 0.000% بذرة 410052,اختيار,0.0,410052.0
27,عشوائي 0.000% بذرة 510052,اختيار,0.0,510052.0
28,عشوائي 0.000% بذرة 110052,حكم,0.0,110052.0
29,عشوائي 0.000% بذرة 210052,حكم,0.0,210052.0
30,عشوائي 0.000% بذرة 310052,حكم,0.0,310052.0
31,عشوائي 0.000% بذرة 410052,حكم,0.0,410052.0
32,عشوائي 0.000% بذرة 510052,حكم,0.0,510052.0
33,احتفاظ كلفة 0%,اختيار,0.0,
34,احتفاظ كلفة 0%,حكم,0.0,
