NOVA_ZP,NOVA_ZTH,NOVA_WICK,symbol,net,trades,win_pct,gross,costs,risk_total
20,-1.5,0.5,BTCUSDT,-516.62,204,15.2,13.11,529.73,0.0
20,-1.5,0.6,BTCUSDT,-448.38,171,14.62,-4.36,444.02,0.0
20,-2.0,0.5,BTCUSDT,-80.88,38,21.05,17.81,98.69,0.0
20,-2.0,0.6,BTCUSDT,-76.75,29,13.79,-1.45,75.3,0.0
20,-2.5,0.5,BTCUSDT,-16.5,4,0.0,-6.12,10.38,0.0
20,-2.5,0.6,BTCUSDT,-12.86,3,0.0,-5.07,7.78,0.0
30,-1.5,0.5,BTCUSDT,-692.29,261,14.18,-14.59,677.7,0.0
30,-1.5,0.6,BTCUSDT,-620.75,228,14.04,-28.76,591.99,0.0
30,-2.0,0.5,BTCUSDT,-174.54,72,18.06,12.43,186.97,0.0
30,-2.0,0.6,BTCUSDT,-145.26,52,15.38,-10.25,135.01,0.0
30,-2.5,0.5,BTCUSDT,-34.05,12,16.67,-2.89,31.16,0.0
30,-2.5,0.6,BTCUSDT,-3.68,7,28.57,14.52,18.2,0.0
50,-1.5,0.5,BTCUSDT,-747.93,312,16.35,62.29,810.23,0.0
50,-1.5,0.6,BTCUSDT,-707.31,273,15.38,1.57,708.88,0.0
50,-2.0,0.5,BTCUSDT,-337.95,114,13.16,-41.99,295.96,0.0
50,-2.0,0.6,BTCUSDT,-312.39,98,12.24,-58.0,254.39,0.0
50,-2.5,0.5,BTCUSDT,-114.1,38,10.53,-15.45,98.65,0.0
50,-2.5,0.6,BTCUSDT,-63.51,28,14.29,9.2,72.72,0.0
20,-1.5,0.5,BNBUSDT,-515.39,199,16.08,1.34,516.73,0.0
20,-1.5,0.6,BNBUSDT,-438.26,170,16.47,3.17,441.43,0.0
20,-2.0,0.5,BNBUSDT,-151.71,34,2.94,-63.5,88.2,0.0
20,-2.0,0.6,BNBUSDT,-119.88,29,6.9,-44.64,75.24,0.0
20,-2.5,0.5,BNBUSDT,0.0,0,0.0,0.0,0.0,0.0
20,-2.5,0.6,BNBUSDT,0.0,0,0.0,0.0,0.0,0.0
30,-1.5,0.5,BNBUSDT,-654.72,270,18.15,46.42,701.15,0.0
30,-1.5,0.6,BNBUSDT,-586.08,239,17.99,34.56,620.64,0.0
30,-2.0,0.5,BNBUSDT,-226.11,78,15.38,-23.6,202.51,0.0
30,-2.0,0.6,BNBUSDT,-196.6,71,16.9,-12.26,184.34,0.0
30,-2.5,0.5,BNBUSDT,-51.0,13,7.69,-17.26,33.73,0.0
30,-2.5,0.6,BNBUSDT,-42.69,12,8.33,-11.54,31.14,0.0
50,-1.5,0.5,BNBUSDT,-738.3,300,16.67,40.74,779.04,0.0
50,-1.5,0.6,BNBUSDT,-679.21,271,15.87,24.51,703.72,0.0
50,-2.0,0.5,BNBUSDT,-308.38,125,18.4,16.22,324.6,0.0
50,-2.0,0.6,BNBUSDT,-264.54,111,18.92,23.72,288.26,0.0
50,-2.5,0.5,BNBUSDT,-83.75,34,23.53,4.54,88.29,0.0
50,-2.5,0.6,BNBUSDT,-86.04,32,21.88,-2.95,83.09,0.0
20,-1.5,0.5,LINKUSDT,-551.75,197,22.84,-40.27,511.48,0.0
20,-1.5,0.6,LINKUSDT,-506.05,177,22.6,-46.51,459.54,0.0
20,-2.0,0.5,LINKUSDT,-158.11,32,15.62,-75.12,82.99,0.0
20,-2.0,0.6,LINKUSDT,-149.27,30,16.67,-71.46,77.81,0.0
20,-2.5,0.5,LINKUSDT,-39.08,1,0.0,-36.53,2.55,0.0
20,-2.5,0.6,LINKUSDT,-39.08,1,0.0,-36.53,2.55,0.0
30,-1.5,0.5,LINKUSDT,-672.75,257,23.35,-5.43,667.33,0.0
30,-1.5,0.6,LINKUSDT,-641.17,236,23.31,-28.4,612.77,0.0
30,-2.0,0.5,LINKUSDT,-200.6,65,20.0,-31.86,168.74,0.0
30,-2.0,0.6,LINKUSDT,-188.44,56,19.64,-43.09,145.36,0.0
30,-2.5,0.5,LINKUSDT,-73.55,7,0.0,-55.45,18.1,0.0
30,-2.5,0.6,LINKUSDT,-69.27,6,0.0,-53.76,15.51,0.0
50,-1.5,0.5,LINKUSDT,-603.13,276,26.09,113.68,716.82,0.0
50,-1.5,0.6,LINKUSDT,-553.44,251,26.29,98.44,651.88,0.0
50,-2.0,0.5,LINKUSDT,-331.29,103,20.39,-63.92,267.37,0.0
50,-2.0,0.6,LINKUSDT,-283.91,94,21.28,-39.88,244.03,0.0
50,-2.5,0.5,LINKUSDT,-109.4,28,32.14,-36.74,72.66,0.0
50,-2.5,0.6,LINKUSDT,-95.76,23,30.43,-36.08,59.68,0.0
20,-1.5,0.5,SOLUSDT,-501.7,198,19.7,12.45,514.15,0.0
20,-1.5,0.6,SOLUSDT,-476.12,175,18.29,-21.74,454.38,0.0
20,-2.0,0.5,SOLUSDT,-161.54,35,14.29,-70.75,90.79,0.0
20,-2.0,0.6,SOLUSDT,-158.35,29,10.34,-83.16,75.19,0.0
20,-2.5,0.5,SOLUSDT,2.99,2,50.0,8.19,5.2,0.0
20,-2.5,0.6,SOLUSDT,2.99,2,50.0,8.19,5.2,0.0
30,-1.5,0.5,SOLUSDT,-424.68,231,24.68,175.37,600.05,0.0
30,-1.5,0.6,SOLUSDT,-383.45,208,24.04,156.85,540.3,0.0
30,-2.0,0.5,SOLUSDT,-244.81,68,17.65,-68.33,176.48,0.0
