NOVA_R,NOVA_CAP,NOVA_HALVE,symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,r_mult,exit_side,bars_held
0.2,12.0,1.3,SOLUSDT,F_204,2026-06-01T16:55:00+00:00,2026-06-01T17:45:00+00:00,80.30426,81.024505,12.0,0.1076,1.745,tp,10
0.2,12.0,1.3,SOLUSDT,F_204,2026-06-01T17:05:00+00:00,2026-06-01T23:15:00+00:00,80.664728,81.441573,12.0,0.1156,1.76,tp,74
0.2,12.0,1.3,SOLUSDT,F_204,2026-06-01T17:45:00+00:00,2026-06-01T18:10:00+00:00,81.20543,80.609073,12.0,-0.0881,-1.214,stop,5
0.2,12.0,1.3,SOLUSDT,F_204,2026-06-01T19:40:00+00:00,2026-06-01T20:00:00+00:00,81.40569,80.960305,12.0,-0.0657,-1.31,stop,4
0.2,12.0,1.3,SOLUSDT,F_204,2026-06-01T22:50:00+00:00,2026-06-02T00:55:00+00:00,81.345612,80.776181,6.0,-0.042,-1.226,stop,25
0.2,12.0,1.3,SOLUSDT,F_204,2026-06-01T23:20:00+00:00,2026-06-01T23:25:00+00:00,81.666028,81.10902,12.0,-0.0818,-1.234,stop,1
0.2,12.0,1.3,SOLUSDT,F_204,2026-06-02T03:55:00+00:00,2026-06-02T04:05:00+00:00,81.135339,80.638943,12.0,-0.0734,-1.268,stop,2
0.2,12.0,1.3,SOLUSDT,F_204,2026-06-03T05:05:00+00:00,2026-06-03T14:20:00+00:00,74.727019,73.942198,12.0,-0.126,-1.14,stop,111
0.2,12.0,1.3,SOLUSDT,F_204,2026-06-03T06:35:00+00:00,2026-06-03T06:50:00+00:00,75.427929,74.913272,12.0,-0.0819,-1.234,stop,3
0.2,12.0,1.3,SOLUSDT,F_204,2026-06-03T10:10:00+00:00,2026-06-03T10:15:00+00:00,75.658228,75.121871,12.0,-0.0851,-1.223,stop,1
