البند,الفترة,net,trades,pf,per,mdd
الأساس (7 أعمدة),DEC,-916.5,24422,0.3275,-0.03753,917.56
F-042 Donchian_High_20,DEC,-92.22,2340,0.3516,-0.03941,93.38
F-055 MACD_Cross_Zero,DEC,-59.39,2102,0.3865,-0.02825,60.55
F-063 BB_Lower_Bounce,DEC,-128.12,2750,0.2688,-0.04659,128.5
F-001 RSI2_Snap os15,DEC,-96.06,2513,0.2989,-0.03823,96.51
F-046 المشي على الحد العلوي (ركوب الزخم),DEC,-31.89,969,0.4296,-0.03291,33.25
F-007 إطلاق TTM Squeeze مع انعكاس الزخم,DEC,0.38,12,1.8163,0.03167,0.43
F-054 دايفرجنس RSI الصاعد الميكانيكي,DEC,-13.82,141,0.2033,-0.09801,14.74
F-032 انقلاب SAR مفلتر بـ EMA200 و ADX,DEC,-7.14,577,0.628,-0.01237,9.42
F-009 ترند ADX قوي مع شراء ملامسة EMA21,DEC,-36.64,1640,0.4739,-0.02234,43.55
F-074 قاع مزدوج ميكانيكي + كسر العنق,DEC,0.33,77,1.2687,0.00429,0.32
F-069 نجمة الصباح ثلاثية الشموع,DEC,-4.74,129,0.2617,-0.03674,5.12
F-013 إيشيموكو محاذاة كاملة مع ADX,DEC,-12.06,481,0.4257,-0.02507,12.35
F-067 ابتلاع صاعد على متوسط متحرك رئيسي,DEC,-10.75,222,0.2928,-0.04842,11.27
F-130 فجوة القيمة العادلة الصاعدة الصالحة,DEC,-410.0,11906,0.3482,-0.03444,410.45
الأساس (7 أعمدة),JUD,-1882.43,36738,0.2253,-0.05124,1882.49
F-042 Donchian_High_20,JUD,-164.32,3916,0.2797,-0.04196,164.66
F-055 MACD_Cross_Zero,JUD,-143.49,3142,0.2466,-0.04567,143.89
F-063 BB_Lower_Bounce,JUD,-223.33,4053,0.1989,-0.0551,224.06
F-001 RSI2_Snap os15,JUD,-185.02,3397,0.2181,-0.05447,186.64
F-046 المشي على الحد العلوي (ركوب الزخم),JUD,-31.39,1328,0.4375,-0.02364,34.83
F-007 إطلاق TTM Squeeze مع انعكاس الزخم,JUD,1.36,15,16.4601,0.09067,0.05
F-054 دايفرجنس RSI الصاعد الميكانيكي,JUD,-9.94,161,0.1623,-0.06174,10.04
F-032 انقلاب SAR مفلتر بـ EMA200 و ADX,JUD,-29.35,788,0.3108,-0.03725,29.65
F-009 ترند ADX قوي مع شراء ملامسة EMA21,JUD,-109.52,2033,0.2284,-0.05387,111.72
F-074 قاع مزدوج ميكانيكي + كسر العنق,JUD,-3.2,103,0.24,-0.03107,3.34
F-069 نجمة الصباح ثلاثية الشموع,JUD,-12.81,261,0.2077,-0.04908,13.44
F-013 إيشيموكو محاذاة كاملة مع ADX,JUD,-20.73,614,0.3093,-0.03376,21.6
F-067 ابتلاع صاعد على متوسط متحرك رئيسي,JUD,-5.72,296,0.4581,-0.01932,6.08
F-130 فجوة القيمة العادلة الصاعدة الصالحة,JUD,-729.92,17824,0.2812,-0.04095,730.01
