الفرضية,صافي$,صفقات,عامل الربح,ربح_الصفقة$,عبر_بوابة_القرار
F-001: RSI2_Snap (os=5),145.18,651,6.5855,0.22301,True
F-001: RSI2_Snap (os=10),269.87,1406,4.8885,0.19194,True
F-001: RSI2_Snap (os=15),386.96,2135,3.7353,0.18125,True
F-008: Turtle_Soup (lb=20),61.59,323,3.3672,0.19068,True
F-008: Turtle_Soup (lb=55),63.89,259,4.2675,0.24668,True
F-015: Zscore_Dip (th=-2.0),0.0,0,0.0,0.0,False
F-015: Zscore_Extreme (th=-2.5),0.0,0,0.0,0.0,False
F-042: Donchian_High_20,488.13,1804,3.9776,0.27058,True
F-055: MACD_Cross_Zero,452.02,2103,4.3846,0.21494,True
F-063: BB_Lower_Bounce,431.97,2505,3.1478,0.17244,True
