NOVA_DISP_MIN,symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,r_mult,exit_side,bars_held
1.0,BNBUSDT,F_127,2026-06-01T03:05:00+00:00,2026-06-01T03:35:00+00:00,710.162012,704.529218,1000.0,-7.9317,,stop,6
1.0,BNBUSDT,F_127,2026-06-01T09:20:00+00:00,2026-06-01T09:30:00+00:00,693.930939,699.47187,1000.0,7.9848,,tp,2
1.0,BNBUSDT,F_127,2026-06-01T09:35:00+00:00,2026-06-01T09:35:00+00:00,705.9165,700.464711,1000.0,-7.723,,stop,0
1.0,BNBUSDT,F_127,2026-06-01T09:45:00+00:00,2026-06-01T09:55:00+00:00,718.492828,710.971647,1000.0,-10.468,,stop,2
1.0,BNBUSDT,F_127,2026-06-01T17:45:00+00:00,2026-06-01T20:05:00+00:00,688.99453,696.479357,1000.0,10.8634,,tp,28
1.0,BNBUSDT,F_127,2026-06-01T18:30:00+00:00,2026-06-01T18:50:00+00:00,695.472941,690.725258,1000.0,-6.8266,,stop,4
1.0,BNBUSDT,F_127,2026-06-01T20:10:00+00:00,2026-06-01T20:50:00+00:00,699.277881,695.38984,1000.0,-5.5601,,stop,8
1.0,BNBUSDT,F_127,2026-06-01T23:20:00+00:00,2026-06-01T23:30:00+00:00,696.233929,692.007434,1000.0,-6.0705,,stop,2
1.0,BNBUSDT,F_127,2026-06-02T03:25:00+00:00,2026-06-02T04:05:00+00:00,694.741992,689.571525,1000.0,-7.4423,,stop,8
1.0,BNBUSDT,F_127,2026-06-03T00:35:00+00:00,2026-06-03T01:05:00+00:00,656.75267,651.030942,1000.0,-8.7121,,stop,6
1.0,BNBUSDT,F_127,2026-06-03T08:50:00+00:00,2026-06-03T09:15:00+00:00,646.459306,642.766907,1000.0,-5.7117,,stop,5
1.0,BNBUSDT,F_127,2026-06-04T03:05:00+00:00,2026-06-04T05:10:00+00:00,614.287537,603.967072,1000.0,-16.8007,,stop,25
1.0,BNBUSDT,F_127,2026-06-04T12:05:00+00:00,2026-06-04T15:05:00+00:00,597.97636,607.037612,1000.0,15.1532,,tp,36
1.0,BNBUSDT,F_127,2026-06-04T12:40:00+00:00,2026-06-04T13:20:00+00:00,604.514849,598.24469,1000.0,-10.3722,,stop,8
1.0,BNBUSDT,F_127,2026-06-04T13:40:00+00:00,2026-06-04T17:30:00+00:00,606.096903,599.921704,1000.0,-10.1885,,stop,46
1.0,BNBUSDT,F_127,2026-06-04T18:30:00+00:00,2026-06-04T19:55:00+00:00,609.230972,604.649619,1000.0,-7.5199,,stop,17
1.0,BNBUSDT,F_127,2026-06-04T23:55:00+00:00,2026-06-05T00:55:00+00:00,605.436045,601.347561,1000.0,-6.753,,stop,12
1.0,BNBUSDT,F_127,2026-06-05T04:55:00+00:00,2026-06-05T05:35:00+00:00,600.289363,594.745188,1000.0,-9.2358,,stop,8
1.0,BNBUSDT,F_127,2026-06-05T07:35:00+00:00,2026-06-05T13:55:00+00:00,591.287676,581.654826,1000.0,-16.2913,,stop,76
